# Filtered for technologies not requiring intermittent backup and extrapolated using an exponential function
sector.name,subsector.name,technology,year,minicam.energy.input,efficiency
electricity,solar,PV_storage,2005,global solar resource,0.96
electricity,solar,PV_storage,2010,global solar resource,0.96
electricity,solar,PV_storage,2015,global solar resource,0.96
electricity,solar,PV_storage,2020,global solar resource,0.96
electricity,solar,PV_storage,2025,global solar resource,0.96
electricity,solar,PV_storage,2030,global solar resource,0.96
electricity,solar,PV_storage,2035,global solar resource,0.96
electricity,solar,PV_storage,2040,global solar resource,0.96
electricity,solar,PV_storage,2045,global solar resource,0.96
electricity,solar,PV_storage,2050,global solar resource,0.96
electricity,solar,PV_storage,2055,global solar resource,0.96
electricity,solar,PV_storage,2060,global solar resource,0.96
electricity,solar,PV_storage,2065,global solar resource,0.96
electricity,solar,PV_storage,2070,global solar resource,0.96
electricity,solar,PV_storage,2075,global solar resource,0.96
electricity,solar,PV_storage,2080,global solar resource,0.96
electricity,solar,PV_storage,2085,global solar resource,0.96
electricity,solar,PV_storage,2090,global solar resource,0.96
electricity,solar,PV_storage,2095,global solar resource,0.96
electricity,solar,PV_storage,2100,global solar resource,0.96
electricity,wind,wind_storage,1975,onshore wind resource,0.96
electricity,wind,wind_storage,1990,onshore wind resource,0.96
electricity,wind,wind_storage,2005,onshore wind resource,0.96
electricity,wind,wind_storage,2010,onshore wind resource,0.96
electricity,wind,wind_storage,2015,onshore wind resource,0.96
electricity,wind,wind_storage,2020,onshore wind resource,0.96
electricity,wind,wind_storage,2025,onshore wind resource,0.96
electricity,wind,wind_storage,2030,onshore wind resource,0.96
electricity,wind,wind_storage,2035,onshore wind resource,0.96
electricity,wind,wind_storage,2040,onshore wind resource,0.96
electricity,wind,wind_storage,2045,onshore wind resource,0.96
electricity,wind,wind_storage,2050,onshore wind resource,0.96
electricity,wind,wind_storage,2055,onshore wind resource,0.96
electricity,wind,wind_storage,2060,onshore wind resource,0.96
electricity,wind,wind_storage,2065,onshore wind resource,0.96
electricity,wind,wind_storage,2070,onshore wind resource,0.96
electricity,wind,wind_storage,2075,onshore wind resource,0.96
electricity,wind,wind_storage,2080,onshore wind resource,0.96
electricity,wind,wind_storage,2085,onshore wind resource,0.96
electricity,wind,wind_storage,2090,onshore wind resource,0.96
electricity,wind,wind_storage,2095,onshore wind resource,0.96
electricity,wind,wind_storage,2100,onshore wind resource,0.96
electricity,biomass,biomass (conv),1975,regional biomass,0.266
electricity,biomass,biomass (conv),1990,regional biomass,0.266
electricity,biomass,biomass (conv),2005,regional biomass,0.266
electricity,biomass,biomass (conv),2010,regional biomass,0.266
electricity,biomass,biomass (conv),2015,regional biomass,0.266
electricity,biomass,biomass (conv),2020,regional biomass,0.278
electricity,biomass,biomass (conv),2025,regional biomass,0.288
electricity,biomass,biomass (conv),2030,regional biomass,0.298
electricity,biomass,biomass (conv),2035,regional biomass,0.308
electricity,biomass,biomass (conv),2040,regional biomass,0.316
electricity,biomass,biomass (conv),2045,regional biomass,0.324
electricity,biomass,biomass (conv),2050,regional biomass,0.332
electricity,biomass,biomass (conv),2055,regional biomass,0.338
electricity,biomass,biomass (conv),2060,regional biomass,0.345
electricity,biomass,biomass (conv),2065,regional biomass,0.351
electricity,biomass,biomass (conv),2070,regional biomass,0.356
electricity,biomass,biomass (conv),2075,regional biomass,0.361
electricity,biomass,biomass (conv),2080,regional biomass,0.366
electricity,biomass,biomass (conv),2085,regional biomass,0.37
electricity,biomass,biomass (conv),2090,regional biomass,0.374
electricity,biomass,biomass (conv),2095,regional biomass,0.378
electricity,biomass,biomass (conv),2100,regional biomass,0.381
electricity,biomass,biomass (IGCC),1975,regional biomass,0.416
electricity,biomass,biomass (IGCC),1990,regional biomass,0.416
electricity,biomass,biomass (IGCC),2005,regional biomass,0.416
electricity,biomass,biomass (IGCC),2010,regional biomass,0.32
electricity,biomass,biomass (IGCC),2015,regional biomass,0.32
electricity,biomass,biomass (IGCC),2020,regional biomass,0.337
electricity,biomass,biomass (IGCC),2025,regional biomass,0.353
electricity,biomass,biomass (IGCC),2030,regional biomass,0.367
electricity,biomass,biomass (IGCC),2035,regional biomass,0.38
electricity,biomass,biomass (IGCC),2040,regional biomass,0.391
electricity,biomass,biomass (IGCC),2045,regional biomass,0.401
electricity,biomass,biomass (IGCC),2050,regional biomass,0.411
electricity,biomass,biomass (IGCC),2055,regional biomass,0.419
electricity,biomass,biomass (IGCC),2060,regional biomass,0.427
electricity,biomass,biomass (IGCC),2065,regional biomass,0.434
electricity,biomass,biomass (IGCC),2070,regional biomass,0.44
electricity,biomass,biomass (IGCC),2075,regional biomass,0.446
electricity,biomass,biomass (IGCC),2080,regional biomass,0.451
electricity,biomass,biomass (IGCC),2085,regional biomass,0.456
electricity,biomass,biomass (IGCC),2090,regional biomass,0.46
electricity,biomass,biomass (IGCC),2095,regional biomass,0.464
electricity,biomass,biomass (IGCC),2100,regional biomass,0.467
electricity,coal,coal (conv pul),1975,regional coal,0.311
electricity,coal,coal (conv pul),1990,regional coal,0.35
electricity,coal,coal (conv pul),2005,regional coal,0.391
electricity,coal,coal (conv pul),2010,regional coal,0.397
electricity,coal,coal (conv pul),2015,regional coal,0.397
